frame_time_s,rms,spectral_centroid_hz,zcr,f0_hz
43.6444,0.175786,2859.74,0.0859375,239.219
43.7373,0.147565,3680.38,0.108398,200
43.8301,0.0957067,2537.04,0.107422,201.159
43.923,0.11693,3394.45,0.160156,241.999
44.0158,0.156115,2978.24,0.218262,624.052
44.1087,0.14666,4092.58,0.299805,642.338
44.2016,0.191162,2591.2,0.148438,231.071
44.2944,0.199234,2665.78,0.131348,233.755
44.3873,0.187209,2370.45,0.110352,233.755
44.4801,0.186275,2303,0.103027,233.755
44.573,0.166147,2974.61,0.197266,193.187
44.6659,0.163097,2299.45,0.116699,102.337
44.7587,0.166613,1966.03,0.09375,102.337
44.8516,0.126825,1884.39,0.103516,233.755
44.9444,0.114456,2276.72,0.17041,233.755
45.0373,0.1616,3009.03,0.154785,
45.1302,0.168707,1588.21,0.0478516,71.1203
45.223,0.186924,1222.24,0.0410156,103.526
45.3159,0.176012,1371.34,0.0600586,227.101
45.4087,0.183118,2694.46,0.0922852,176.133
45.5016,0.175445,2503.04,0.0991211,175.119
45.5945,0.242499,1782.96,0.0576172,195.432
45.6873,0.23273,1447.33,0.0419922,196.564
45.7802,0.199699,2394.33,0.0703125,184.463
45.873,0.237153,1831.45,0.0317383,205.86
45.9659,0.199721,2457.89,0.109375,207.053
46.0588,0.243562,2445.2,0.0546875,205.86
46.1516,0.233703,1725.86,0.0541992,196.564
46.2445,0.237603,1451.47,0.0454102,196.564
46.3374,0.174102,2650.19,0.142578,185.532
46.4302,0.175389,1960.13,0.0795898,173.107
46.5231,0.132644,2158.2,0.10791,165.29
46.6159,0.11943,3129.32,0.182129,244.811
46.7088,0.149734,2716.96,0.143555,82.169
46.8017,0.135882,2729.32,0.103027,82.645
46.8945,0.166708,2205.05,0.0917969,207.053
46.9874,0.159138,1475.34,0.0615234,166.248
47.0802,0.15861,1163.76,0.0454102,165.29
47.1731,0.129401,1297.26,0.0351562,164.338
47.266,0.131251,1087.05,0.0336914,155.114
47.3588,0.128377,1333.84,0.0537109,55.1589
47.4517,0.159405,1828.83,0.0458984,64.4685
47.5445,0.148552,1608.66,0.0625,131.191
