frame_time_s,rms,spectral_centroid_hz,spectral_bandwidth_hz,zcr,f0_hz
14.912,0.0993797,1011.97,1575,0.0512695,87.424
14.976,0.0899696,1364.96,1992.26,0.0498047,66.932
15.04,0.0783911,912.85,1525.63,0.0424805,130.963
15.104,0.136444,889.861,1432.51,0.050293,86.0539
15.168,0.200419,2007.98,2238.15,0.0527344,198.785
15.232,0.191356,2353.98,2464.53,0.0439453,175.653
15.296,0.133516,1590.97,2119.67,0.0327148,177.563
15.36,0.079187,1207.84,1807.23,0.0366211,88.3636
15.424,0.104824,1840.88,1898.77,0.0810547,86.6945
15.488,0.121823,2164.88,2075.3,0.135254,203.851
15.552,0.0869027,2081.43,1991.53,0.137207,193.083
15.616,0.112548,1988,1899.46,0.131836,93.3253
15.68,0.136174,2355.77,2091.36,0.14209,119.324
15.744,0.134159,1610.4,1950.49,0.0957031,66.2384
15.808,0.134942,1727.14,1877.03,0.10791,138.31
15.872,0.13148,2322.44,2030.43,0.168945,615.385
15.936,0.119073,2226.81,2059.45,0.145508,61.0545
16,0.132652,1837.19,1939.33,0.126953,615.385
16.064,0.135576,2451.39,2191.23,0.167969,211.676
16.128,0.10909,2530.88,2172.57,0.166992,70.4732
16.192,0.091205,1938.89,1899.41,0.129883,615.385
16.256,0.100355,1636.77,1698.26,0.106934,211.407
16.32,0.129922,1396.44,1603.94,0.0756836,615.385
16.384,0.121067,1070.01,1383.9,0.0649414,66.78
16.448,0.079046,1021.07,1282.3,0.0678711,94.3011
16.512,0.0516022,905.575,1227.32,0.0600586,90.8503
16.576,0.112797,1483.59,2192.96,0.0913086,143.71
16.64,0.125249,2970.97,2846.88,0.148926,202.039
16.704,0.0876736,2769.09,2848.29,0.127441,204.557
16.768,0.0884247,1184.16,2020.16,0.0610352,194.298
16.832,0.0810872,801.221,1460.73,0.0375977,206.275
16.896,0.1215,3067.64,2324.83,0.131836,224.358
16.96,0.154975,2006.71,2195.02,0.187988,229.178
17.024,0.148019,3019.06,2418.06,0.292969,238.174
17.088,0.122347,4104.21,2223.74,0.403809,232.45
17.152,0.0901656,3665.66,2408.06,0.282227,231.897
17.216,0.133083,1930.34,1932.24,0.153809,237.07
17.28,0.199458,1764.01,2047.18,0.0849609,232.916
17.344,0.23982,1397.45,1822.34,0.0551758,229.747
17.408,0.232595,1480.12,1951.71,0.0581055,208.063
17.472,0.219088,2059.55,2445.51,0.0742188,206.285
17.536,0.244894,1561.29,2107.51,0.0668945,197.375
17.6,0.22061,1310.74,1828.49,0.0561523,196.392
17.664,0.17887,1566.42,1989.29,0.0742188,195.886
17.728,0.181773,1488.61,2002.86,0.0639648,208.146
17.792,0.235472,1163.1,1786.63,0.0473633,194.165
17.856,0.233243,1870.77,2316.42,0.0859375,194.979
17.92,0.176475,2479.79,2491.56,0.0922852,192.284
17.984,0.18348,1373.66,2009.57,0.0742188,194.353
18.048,0.197356,2546.79,2645.56,0.0927734,194.494
18.112,0.252585,1551.93,2159.15,0.0751953,196.85
18.176,0.269258,1241.1,1741.59,0.0649414,196.443
18.24,0.231009,1463.06,1769.56,0.0898438,210.467
18.304,0.207047,1827.79,2080.53,0.0942383,233.287
18.368,0.20212,1602.73,2043.23,0.0849609,233.112
18.432,0.220914,1411.32,1973.06,0.0664062,213.925
18.496,0.245027,1128.48,1689.32,0.050293,207.86
18.56,0.26192,1021.57,1619.41,0.0488281,197.687
18.624,0.232205,977.952,1574.51,0.0556641,196.168
18.688,0.193502,1658.33,1841.26,0.059082,190.956
18.752,0.171423,1259.28,1820.8,0.0551758,180.017
18.816,0.114605,1134.11,1624.89,0.0546875,365.297
18.88,0.0874703,879.092,1259.2,0.0620117,216.291
18.944,0.082726,878.456,1202.8,0.0625,356.01
19.008,0.0825467,751.589,1064.65,0.0551758,204.621
19.072,0.0828651,768.972,1095.14,0.0517578,393.79
19.136,0.0753959,836.511,1243.75,0.0517578,197.411
19.2,0.094472,799.164,1194.65,0.0507812,387.034
19.264,0.0923114,756.986,1116,0.0512695,98.8416
